"species","longitude","latitude"
"Papilio",-154.8958333,19.5625
"Papilio",-154.9375,19.39583333
"Papilio",-154.9375,19.60416667
"Papilio",-154.9791667,19.4375
"Papilio",-155.1041667,19.52083333
"Papilio",-155.1041667,19.64583333
"Papilio",-155.1041667,19.6875
"Papilio",-155.1041667,19.8125
"Papilio",-155.2291667,19.97916667
"Papilio",-155.5208333,19.0625
"Papilio",-155.5208333,20.0625
"Papilio",-155.5625,20.10416667
"Papilio",-155.6458333,19.02083333
"Papilio",-155.6875,20.02083333
"Papilio",-155.7708333,20.22916667
"Papilio",-155.8125,19.72916667
"Papilio",-155.9375,19.52083333
"Papilio",-155.9791667,19.60416667
"Papilio",-155.9791667,19.64583333
"Papilio",-155.9791667,19.72916667
"Papilio",-156.1875,20.85416667
"Papilio",-156.2291667,20.89583333
"Papilio",-156.3541667,20.8125
"Papilio",-156.3541667,20.89583333
"Papilio",-156.4375,20.6875
"Papilio",-156.4375,20.72916667
"Papilio",-156.4791667,20.77083333
"Papilio",-156.4791667,20.89583333
"Papilio",-156.5208333,20.9375
"Papilio",-156.6458333,20.97916667
"Papilio",-157.7291667,21.35416667
"Papilio",-157.7291667,21.39583333
"Papilio",-157.7291667,21.47916667
"Papilio",-157.7708333,21.39583333
"Papilio",-157.7708333,21.4375
"Papilio",-157.8125,21.35416667
"Papilio",-157.8125,21.39583333
"Papilio",-157.8125,21.4375
"Papilio",-157.9375,21.64583333
"Papilio",-157.9791667,21.39583333
"Papilio",-157.9791667,21.4375
"Papilio",-158.0208333,21.4375
"Papilio",-158.0208333,21.47916667
"Papilio",-158.0208333,21.64583333
"Papilio",-158.1041667,21.5625
"Papilio",-158.1041667,21.60416667
"Papilio",-158.1458333,21.47916667
"Papilio",-158.1458333,21.5625
"Papilio",-159.3541667,21.97916667
"Papilio",-159.3541667,22.0625
"Papilio",-159.3958333,21.97916667
"Papilio",-159.4375,21.85416667
"Papilio",-159.4791667,21.89583333
"Papilio",-159.5208333,22.10416667
"Papilio",-159.6458333,22.14583333
"Papilio",100.0208333,26.85416667
"Papilio",100.1458333,25.72916667
"Papilio",100.1458333,25.85416667
"Papilio",100.1458333,26.85416667
"Papilio",100.1875,26.85416667
"Papilio",100.1875,27.27083333
"Papilio",100.2291667,26.89583333
"Papilio",101.4791667,25.14583333
"Papilio",101.9791667,29.97916667
"Papilio",102.2708333,28.4375
"Papilio",102.3125,27.77083333
"Papilio",102.5625,24.89583333
"Papilio",102.6458333,25.3125
"Papilio",102.6875,23.64583333
"Papilio",102.7291667,24.9375
"Papilio",102.7291667,25.02083333
"Papilio",102.7291667,25.0625
"Papilio",102.7708333,24.8125
"Papilio",102.7708333,25.0625
"Papilio",102.7708333,25.1875
"Papilio",102.8125,24.85416667
"Papilio",102.8541667,24.8125
"Papilio",102.8541667,25.10416667
"Papilio",102.8958333,24.89583333
"Papilio",103.2708333,29.1875
"Papilio",103.2708333,31.5625
"Papilio",103.2708333,31.60416667
"Papilio",103.4791667,30.60416667
"Papilio",103.7708333,25.0625
"Papilio",104.2291667,33.22916667
"Papilio",104.5208333,32.4375
"Papilio",105.3125,28.77083333
"Papilio",105.3541667,28.39583333
"Papilio",105.6041667,29.02083333
"Papilio",105.8958333,30.97916667
"Papilio",106.4375,29.60416667
"Papilio",106.4791667,29.5625
"Papilio",106.5208333,29.39583333
"Papilio",106.5625,28.6875
"Papilio",106.6458333,26.64583333
"Papilio",106.9791667,30.85416667
"Papilio",107.4375,33.52083333
"Papilio",107.4791667,26.02083333
"Papilio",107.4791667,29.5625
"Papilio",107.8125,33.85416667
"Papilio",107.8958333,26.60416667
"Papilio",108.0625,34.27083333
"Papilio",108.7291667,30.97916667
"Papilio",108.8958333,34.22916667
"Papilio",108.9375,34.27083333
"Papilio",109.2708333,34.39583333
"Papilio",110.1458333,23.97916667
"Papilio",110.3958333,31.60416667
"Papilio",110.4375,24.72916667
"Papilio",110.4375,24.77083333
"Papilio",110.5208333,29.3125
"Papilio",110.5625,33.0625
"Papilio",111.4791667,28.89583333
"Papilio",111.5208333,29.97916667
"Papilio",111.6875,29.6875
"Papilio",111.7291667,36.14583333
"Papilio",112.3958333,34.64583333
"Papilio",112.4791667,34.6875
"Papilio",112.4791667,34.72916667
"Papilio",112.6041667,34.52083333
"Papilio",112.9375,23.77083333
"Papilio",112.9375,23.97916667
"Papilio",112.9791667,28.1875
"Papilio",113.0208333,29.02083333
"Papilio",113.0625,28.72916667
"Papilio",113.0625,28.77083333
